Nom du restaurant,Adresse,Commune,Détails,Type de commerce
La Fabrique,1 bis rue Coq Gaulois,Brie Comte Robert,"Au coeur d'une ancienne tuilerie, la fabrique est un restaurant gastronomique qui allie avec charme tradition et modernité et qui, en cinq années, a su affirmer sa notoriété.",Restaurant
Go Gorilla,3 rue du chemin de Fer,Lagny sur Marne,"Venez vivre une expérience gourmande et inédite dans ce restaurant. Cadre cosy et lounge avec un brin d'exotisme, des plats délicieux et de qualité, un service irréprochable pour faire de ce repas un moment savoureux.",Restaurant
Le Patio,155 rue de l'Industrie||RN6,Savigny-le-Temple,Restaurant traditionnel à spécialité buffet entrées et desserts. Terrasse en été.,Restaurant
Bar et toit terrasse du Molitor,13 Rue Nungesser et Coli,Paris 16e Arrondissement,"Après 25 ans d'absence, le mythique établissement parisien de style art déco, a rouvert ses portes en 2014. Connu pour sa piscine, c'est aujourd'hui un hôtel 5 étoiles, un restaurant, un spa, un bar et un rooftop. Vous allez être au top cet été!",Restaurant
Le Réservoir,16 rue de la Forge Royale,Paris,"Des concerts monumentaux, un club très tendance, un restaurant moderne et un brunch jazz : le réservoir cultive le bon goût et les bonnes idées.",Restaurant
Restaurant de Boisminard,16 rue de la Forge Royale,Nanteau-sur-Essonne,Restaurant avec spécialités à base de fromages de chèvre.,Restaurant
Le Barrois,16 rue de la Forge Royale,Boutigny,"Ouvert tous les jours, situé à 10 minutes du centre ville de meaux, le restaurant du golf est un lieu privilégié pour l'organisation d'évènements.",Restaurant
Restaurant Quai Est,2 avenue de l'Europe,Bussy-Saint-Georges,Restaurant-bar-lounge du greyclub à bussy-st-georges.,Restaurant
AUX ACACIAS,26 rue de la Pêcherie,Corbeil Essonnes,"Situé sur la rive droite de corbeil-essonnes, au bord de la seine, le restaurant aux acacias vous accueille tous les midis du lundi au vendredi et les jeudi, vendredi et samedi soirs.",Restaurant
La Favela Chic,18 Rue du Faubourg du Temple,Paris,"Plus qu'un bar-restaurant, la favela chic est un phénomène de la nuit parisienne !",Restaurant
Le Duplex Café,5 Place Fulgence Bienvenue,Bussy Saint Georges,Restaurant traditionnel à bussy-saint-georges.,Restaurant
Chez Papa Jazz Club,3 Rue Saint-Benoît,Paris 6e Arrondissement,"Au coeur de saint-germain, un restaurant spacieux vit chaque soir aux rythmes classes d'un jazz énergique sur piano laqué. avec mets délicats au menu.",Restaurant
Bella Casa,58 rue de Paris,Nemours,Restaurant de spécialités italiennes et pizzas,Restaurant
Le Relais Savoyard,100 avenue de Lyon,Nemours,Bar - restaurant routier,Restaurant
Dynastie d'or,2C rue du Port,Esbly,Restaurant asiatique,Restaurant
Auberge des Charmettes,15 rue de Paris,Torcy,"Le restaurant l´auberge des charmettes, situé à torcy, vous invite à un interlude gourmand dans un cadre charmant au style ancien, avec ses poutres apparentes et ses murs en pierre.",Restaurant
Le Flamboyant,98 rue de Paris,Lieusaint,"Notre restaurant vous accueille dans un cadre chaleureux et convivial, en véranda ou en salle.",Restaurant
Le Seval,24 place du marché,Donnemarie-Dontilly,"Le restaurant vous propose des kébabs, pizzas et diverses assiettes. Vous pouvez manger sur place en intérieur ou en extérieur (terrasse).",Restaurant
Ibis Marne-la-Vallée Champs,24 place du marché,Champs-sur-Marne,"Disposant d'un bar ouvert 24h/24, d'un restaurant régional avec terrasse et d'un garage gratuit, ce complexe est idéal pour les couples et les familles souhaitant aller à disneyland® paris.",Restaurant
Langrial Mahal,58 rue Saint Denis,Lagny sur Marne,Restaurant indien à lagny-sur-marne.,Restaurant
Château de Sancy - La Catounière,"1, place de l'Eglise",Sancy,"Au restaurant la catounière, vous découvrirez une cuisine gastronomique raffinée et élaborée par notre chef à partir de produits issus du terroir. Dès les beaux jours, vous pourrez savourer vos déjeuners et dîners sur sa terrasse ombragée.",Restaurant
La croix blanche,2 place du marché,Donnemarie Dontilly,Venez vous régaler dans le restaurant la croix blanche près de provins.,Restaurant
Le Cnoce,2 Allée des portes de la Forêt,Collégien,Restaurant de l'hôtel novotel marne la vallée collégien proposant une cuisine traditionnelle faite maison,Restaurant
La Détente,21 grande rue,Bazoches-lès-Bray,"Cuisine française traditionnelle. Le restaurant vous propose son menu du jour comprenant entrée au choix + plat du jour + fromage + dessert + 1/4 de vin pour 12, 70eur (prix à titre indicatif) pizzeria ouverte les jeudis, vendredis et samedis soir.",Restaurant
Restauration au Moulin Rouge,82 boulevard de Clichy,Paris 18e Arrondissement,Restaurant traditionnel,Restaurant
Alla Fontana,4 rue Vacheresse,Lagny sur Marne,"Restaurant traiteur italien, vous propose à emporter d'authentiques pizzas italiennes cuites au feu de bois.",Restaurant
La Tavola,37 avenue Thibaud de Champagne,Montévrain,Restaurant italien à montevrain.,Restaurant
Le Rendez-vous des Gourmets,17 avenue Jacques Cartier,Bussy-Saint-Georges,Restaurant libanais à bussy-saint-georges.,Restaurant
Le Palais Saint Thibault,1 rue Lamartine,Saint Thibault des Vignes,Restaurant asiatique à saint-thibault-des-vignes.,Restaurant
Planète du Kashmir,113 rue Saint-Denis,Lagny sur Marne,Restaurant indien dans le centre-ville de lagny-sur-marne.,Restaurant
Le Chai,113 rue Saint-Denis,Ferrières en Brie,"Le chai - bar à vin est le restaurant bistronomique du château de ferrières, un lieu atypique au coeur d'un parc de 135 hectares.",Restaurant
La Locanda,2 rue de la Mairie,Jablines,Restaurant italien à jablines.,Restaurant
Auberge Canard,91 rue des Roches,Buthiers,Restaurant traditionnel situé à proximité du massif forestier de fontainebleau.,Restaurant
Memphis Coffee Montévrain,1 rue Fontenelle||Le Clos du Chêne,Montévrain,Restaurant de spécialités américaines à montévrain.,Restaurant
Dock b,1 place de la Pointe,Pantin,"Dock b c'est brooklyn à pantin. Mariant plaisirs ludiques, artistiques et gustatifs, ce nouveau lieu hybride abrite une salle de concert, un espace d'exposition, un restaurant et un bar.",Restaurant
L'Ecu de France,5-7 rue de Paris,Nemours,Restaurant situé en plein coeur du centre-ville. 1 salle intérieure et 1 terrasse couverte accessible toute l'année. Cuisine traditionnelle. Salon de thé.,Restaurant
Soft et Fresh,10 boulevard Pierre Mendès France,Bussy-Saint-Georges,"Saladerie, sandwicherie à bussy-saint-georges.",Restaurant
Côt'N Grill,14 place de la Fontaine,Lagny-sur-Marne,Restaurant grill et traditionnel sur la place de la fontaine de lagny-sur-marne.,Restaurant
Aux menus plaisirs,43 avenue des Etats-Unis,La Ferté-Gaucher,"Sur l'axe routier nommé autrefois « route des belges », le restaurant aux menus plaisirs se trouve à quelques pas de la rivière du grand morin. Ambiance familiale.",Restaurant
L'Ecluse,4 rue de l'écluse,Nemours,"Restaurant-brasserie situé tout près de l'écluse des buttes, entre le loing et le canal du loing. A deux pas du parking du champ de mars.",Restaurant
Ibis Marne-la-Vallée Val d'Europe,2 Place Jean Monnet,Montévrain,"L'hôtel ibis marne-la-vallée val d'europe, ses 100 chambres climatisées et son restaurant café pasta vous accueillent 7j/7 et 24h/24.",Restaurant
L'Atelier de Thorigny,5 rue Raymond Pointcarré,Thorigny sur Marne,Restaurant portugais au pied de la gare de thorigny-sur-marne.,Restaurant
Les Nymphéas,1 place Claude Monet,Saint Thibault des Vignes,Crêperie et restaurant de spécialités traditionnelles et savoyardes à saint-thibault des vignes.,Restaurant
La table du Curé,26 rue de Paris,Villiers sur Morin,"Restaurant traditionnel briard, situé en face de l'Église saint-rémi de villiers sur morin.",Restaurant
Miyajima,6 avenue du Général de Gaulle,Bussy Saint Georges,Restaurant japonais à bussy-saint-georges.,Restaurant
Auberge de la Dame Jouanne,6 avenue du Général de Gaulle,Larchant,"Le restaurant de la dame jouanne est l'une des rares auberges située en pleine forêt, avec son ambiance cheminée et feu de bois, qui fait honneur à la cuisine française traditionnelle.",Restaurant
La cafet' des ateliers,5 rue Charles Cordier,Ferrières en Brie,Restaurant self pour les entreprises à ferrières-en-brie.,Restaurant
Hôtel-restaurant Campanile Brie-Comte-Robert,5 rue Charles Cordier,Brie Comte Robert,Hôtel situé en pleine zone d'activité et proche de la francilienne. À 20 mn de disneyland.,Restaurant
Il était une fois...,28 rue Maximilien Michelin,Provins,Découvrez le restaurant des chambres d'hôtes de stella cadente,Restaurant
L'Origano,1 rue Joseph Paxton,Ferrières en Brie,Restaurant du complexe paxton à ferrières-en-brie.,Restaurant
Hôtel-Restaurant du Sauvage,27 rue de Paris,La Ferté Gaucher,L'hôtel-restaurant du sauvage vous reçoit au coeur de la vallée du grand morin à la ferté-gaucher !,Restaurant
Sheesh Mahal,1 Grand Place,Bussy-Saint-Georges,Restaurant indien à bussy-saint-georges.,Restaurant
Malocco,10 Grande Rue,Pontcarré,Restaurant traditionnel à pontcarré.,Restaurant
Ô Bamboo,8 Avenue James de Rothschild||Centre commercial Casino,Ferrières en Brie,Restaurant thaïlandais à ferrières-en-brie.,Restaurant
Tokyo,9 quai de la Marne,Thorigny sur Marne,Restaurant japonais à thorigny-sur-marne.,Restaurant
Courtepaille Nemours,9 quai de la Marne,Nemours,Restaurant de cuisine traditionnelle spécialisé en grillades,Restaurant
Bay Sushi,9 quai de la Marne,Torcy,Restaurant japonais du centre commercial bay 2 à collégien.,Restaurant
Hôtel Ibis Provins,77 avenue du Général de Gaulle,Provins,Bienvenue à l'hôtel-restaurant ibis de provins !,Restaurant
Restaurant Istanbul,28 rue du chemin de Fer,Lagny-sur-Marne,Restauration rapide dans la rue commerçante de lagny-sur-marne.,Restaurant
Le Quincangrogne,7 rue de l'Abreuvoir,Dampmart,Restaurant gastronomique à dampmart : “ une étoile o une cuisine d'une grande finesse. Vaut l'étape ! “ guide michelin 2021,Restaurant
Le bistrot du Cheval Blanc,2 rue de Lagny,Jossigny,Restaurant traditionnel à jossigny.,Restaurant
Le Chabada,4 rue de la Boissière,Montcourt Fromonville,"Restaurant situé à proximité du chemin de halage et du canal du loing, à proximité immédiate de l'euro-véloroute et de l'embarcadère du zia (bateau de croisière).",Restaurant
Campanile Marne-la-Vallée Bussy-Saint-Georges,8 avenue Marie-Curie,Bussy Saint Georges,"L'hôtel-restaurant 3 étoiles campanile marne-la-vallée bussy-saint-georges, propose en plus de ses chambres et de son restaurant, trois salles de séminaires toutes équipées. Ces salles peuvent accueillir entre 8 et 200 personnes.",Restaurant
L'Open,11 rue de vieilles vignes,Croissy-Beaubourg,"Situé dans la, le restaurant vous accueille pour déjeuner dans sa salle spacieuse et lumineuse. Une cuisine traditionnelle de qualité vous est proposée vue sur les courts couverts de la ligue de tennis 77 et extérieurs, plus terrasse d'été.",Restaurant
Rigatoni Café,5 rue des Vergers,Saint Thibault des Vignes,Restaurant italien à saint-thibault-des-vignes.,Restaurant
Le lion d'or,21 rue grande,Châtenay-sur-Seine,Bar-restaurant qui propose une cuisine traditionnelle française dans une ambiance familiale.,Restaurant
Villa 9 Trois,71 rue Hoche,Montreuil,"Restaurant gastronomique, la province dans un parc près de paris.",Restaurant
Riad de Marrakech,1 rue des Chalands,Bussy-Saint-Georges,Restaurant marocain à bussy-saint-georges.,Restaurant
Le Relais de Grez,1 place de la République,Grez sur Loing,Restaurant situé dans une ancienne maison en pierre avec au plafond poutres apparentes en bois et cheminée en pierre.,Restaurant
Chez Pin,29 rue des Tanneurs,Nemours,Restaurant de spécialités chinoises avec terrasse située sur les bords du loing,Restaurant
Le Picardy,47 rue Grande,Bombon,"Situé au sein d'un petit village de seine-et-marne, le picardy vous accueille pour l'organisation de vos réceptions et repas. A votre service, tous les jours de la semaine (fermeture le mardi).",Restaurant
Café Pasta et Cie,2 Place Jean Monnet,Montévrain,Restaurant de l'hôtel ibis à montevrain.,Restaurant
Hôtel Campanile Chelles,38 avenue du Gendarme Castermant,Chelles,"Hôtel séparé de la réception et du restaurant, situé sur 2 étages.",Restaurant
A la Folie,26 avenue Corentin Cariou,Paris 19e Arrondissement,"Pour notre plus grand bonheur, la villette accueille dans une de ses folies rouges, le restaurant-bar-club-atelier-barbecue (et bien plus encore !) a la folie.",Restaurant
Les Délices du Maroc,98 avenue Georges Clémenceau,Lagny sur Marne,Restaurant marocain à lagny-sur-marne.,Restaurant
Au Trinquet,8 Quai Saint-Exupéry,Paris 16e Arrondissement,Envie de dépaysement? au trinquet est un bar-restaurant avec terrasse propose une cuisine de saison inspirée du sud-ouest. Ne manquez surtout pas les apéros du jeudi... ambiance garantie !,Restaurant
New Garden,3 allée Paul Lardet,Nemours,Restaurant de cuisine asiatique. Buffet à volonté,Restaurant
La Maison du Pressoir,34 avenue Jean Jaurès,Crosne,Restaurant o espace lounge o commande à emporter o Évènementiel,Restaurant
La Table des Impressionnistes,"47, avenue Jean-Jaurès",Moret sur Loing,Hôtel-restaurant aux portes de la cité médiévale de moret-sur-loing.,Restaurant
La Vieille Auberge,15 rue du Général de Gaulle,Villeneuve le Comte,Restaurant gastronomique à villeneuve le comte en seine et marne,Restaurant
Au fil de l'eau,4 rue Sanson,Nemours,"Restaurant traditionnel, cuisine ch'ti et pizza au feu de bois",Restaurant
L'Ile des Cygnes,12 bis quai de la Marne,Condé Sainte Libiaire,Restaurant guinguette avec une salle de restaurant pouvant accueillir des groupes et une grande terrasse pour l'été donnant sur la marne. Réservation conseillée.,Restaurant
RESTAURANT DU GOLF DE BONDOUFLE,12 bis quai de la Marne,Bondoufle,"Dans un espace dominant le parcours, notre restaurant vous propose des mets raffinés préparés dans le respect de la cuisine française traditionnelle.",Restaurant
Arti'sens,8 Place du Marché,Rebais,"Eric et hélène  vous accueillent dans leur restaurant. Produits frais et de saisons traiteur,épicerie fine",Restaurant
Le Restaurant du Musée d'Orsay - MUSIAM,"1, rue de la Légion d'Honneur",Paris 7e Arrondissement,,Restaurant
Ma. Su,66 rue de Paris,Nemours,Restaurant japonais proposant une cuisine de fraicheur avec de nombreuses spécialités faites maison et proposées par le chef cuisinier.,Restaurant
Le Riad,1 rue de la Madeleine,Pomponne,Restaurant marocain à pomponne.,Restaurant
La Villa,111 Quai de la Gourdine,Lagny sur Marne,"Ce restaurant haut de gamme se situe dans le cadre enchanteur des bords de marne. Un petit coin de paradis à quelques pas du centre ville, des mets de qualité, tantôt viande tantôt poisson avec de belles découvertes gustatives !",Restaurant
Bay 2 Chine,111 Quai de la Gourdine,Torcy,Restaurant chinois du centre commercial bay 2 à collégien.,Restaurant
Le Relais de Guermantes,111 Quai de la Gourdine,Guermantes,Restaurant traditionnel à guermantes.,Restaurant
Étoile d'Asie,1 place Jean-Monnet,Saint Thibault des Vignes,Restaurant japonais à saint-thibault-des-vignes.,Restaurant
Le Kolam,1 place Jean-Monnet,Chanteloup en Brie,Restaurant indien au clos du chêne de montévrain.,Restaurant
Sushi Oishii,32 allée de Dublin,Montévrain,Restaurant japonais à montevrain.,Restaurant
Planète Indienne,45 avenue Thibaud de Champagne,Montévrain,Restaurant indien à montévrain.,Restaurant
Le Nouveau T,2 rue Jules Hemet,Montévrain,Bar restaurant tabac,Restaurant
Allard,41 rue Saint-André-des-Arts,Paris,"Situé rive gauche, dans le quartier de saint-germain-des-prés, le restaurant allard est fondé en 1932. Repris en 2013 par un grand chef étoilé, il propose aujourd'hui une cuisine typiquement bistrotière qui reprend les classiques qui ont la fait la réputation de la maison. Un menu pour le déjeuner...",Restaurant
Bateaux-Mouches,41 rue Saint-André-des-Arts,Paris,"Créée en 1949, la compagnie des bateaux mouches® est située sur la rive droite de la seine. Des diners croisières sont proposés quotidiennement à bord de bateaux entièrement vitrés pour découvrir paris et ses monuments à la nuit tombée. Un pianiste et un violoniste reprennent les classiques de la...",Restaurant
LE RECH à la Maison de l'Amérique latine,217 Boulevard Saint-Germain,Paris,"Installé depuis 1925 dans le quartier des champs-Élysées, à deux pas de la place des ternes, le restaurant rech est repris par le chef étoilé alain ducasse en 2007. Dans un décor épuré et moderne mis en scène par l'architecte marie deroudihe, on y vient toute l'année pour déguster des produits de...",Restaurant
Le Restaurant du Musée d'Orsay,1 rue de la Légion d'Honneur,Paris,"Le restaurant du musée d'orsay est une halte agréable avant ou après une exposition ou la visite des collections permanentes du musée dédié à l'art du xixe siècle. Le restaurant de l'ancien hôtel de la gare d'orsay a conservé ses lustres, ses plafonds peints et ses magnifiques fresques classées aux...",Restaurant
Annette's Diner,1 rue de la Légion d'Honneur,Chessy,"Le restaurant annette's diner se situe à disney village, à trente minutes de paris en transports en commun. Les serveurs chaussés de patins à roulettes proposent des classiques de la cuisine outre-atlantique. L'ambiance musicale rappellent les années 50 aux États-unis. Des plats végétariens sont...",Restaurant
La Grande Cascade,1 rue de la Légion d'Honneur,Paris,"Tout proche du stade roland garros et de la fondation louis vuitton, le restaurant étoilé la grande cascade est installé dans un ancien pavillon napoléon iii. La salle du restaurant, alliant verre et métal, est inondée de lumière. Le chef concocte et sublime des mets d'excellence. Aux beaux jours,...",Restaurant
Le Grand Café Capucines,4 boulevard des Capucines,Paris,"Le grand café capucines, créé en 1875, se trouve sur les grands boulevards, à deux pas du palais garnier. Le restaurant, ouvert 7 jours sur 7 et en service continu, revisite les plats traditionnels de la gastronomie française. Du petit déjeuner au dîner, avant ou après un spectacle, les convives...",Restaurant
Terrass'' Restaurant et Bar,4 boulevard des Capucines,Paris,"À quelques rues du sacré coeur, le terrass'' hotel accueille résidents et clients de passage dans son restaurant et son bar panoramiques. Perché sur le toit-terrasse, le lieu offre une vue époustouflante sur la ville de paris. Aux fourneaux, le talentueux chef propose une cuisine simple et...",Restaurant
Bustronome,4 boulevard des Capucines,Paris,"Bustronome propose de découvrir paris à bord de bus à impériale au toit entièrement vitré. À bord du bus restaurant, lors d'un déjeuner ou d'un dîner, les invités dégustent une cuisine raffinée et créative tout en sillonnant la ville. Une ambiance musicale participe à l'excellente ambiance. Un...",Restaurant
Restaurant Les Galeries,3 avenue du Général Eisenhower,Paris,,Restaurant
Mama Shelter Paris East,109 rue de Bagnolet,Paris,"Le restaurant de l'hôtel du mama shelter's paris east accueille résidents et clients de passage dans le quartier branché de l'est parisien. On s'attable autour de grandes banquettes pour partager pizzas cuites au feu de bois et plats généreux faits maison, et à prix doux. On se retrouve au bar -...",Restaurant
Le Procope,13 rue de l'Ancienne Comédie,Paris,"Fondé en 1686, le procope est considéré comme l'un des plus vieux restaurants de paris. Situé au coeur de saint-germain-des-prés, le lieu fût fréquenté par d'illustres penseurs, philosophes, hommes de lettre... citons par exemple diderot, rousseau et verlaine. On vient aujourd'hui dans ce leiu...",Restaurant
Pachamama Paris,46-48 rue du Faubourg Saint-Antoine,Paris,"À deux pas de la bastille, le pachamama a investi un bâtiment du xixe siècle signé gustave eiffel. Le lieu associe - sur trois étages - un restaurant (la cantina), un fumoir, une piste de danse, un bar à cocktails et un patio agrémenté d'un spectaculaire mur végétal. Les clients accèdent aux...",Restaurant
La Verrière Paris,4 rue Niepce,Paris,"Dans le quartier du montparnasse, le restaurant la verrière - niché au coeur de l'hôtel niepce - invite les clients à partager un voyage culinaire dépaysant. La cuisine saine et sophistiquée de la chef franco-japonaise mêle raffinement français et subtilité japonaise. Les mets - aussi beaux que...",Restaurant
Restaurant Laurent,41 avenue Gabriel,Paris,,Restaurant
Le Train Bleu,41 avenue Gabriel,Paris,"Construit à l'occasion de l'exposition universelle de 1900, le train bleu est un restaurant situé au 1er étage de la gare de lyon. Les convives admirent notamment les peintures, les lustres et les dorures de la belle Époque. La carte met à l'honneur les produits de saison. Une véritable institution...",Restaurant
58 Tour Eiffel,41 avenue Gabriel,Paris,"Perché au 1er étage de la tour eiffel, le restaurant 58 tour eiffel offre une vue impressionnante sur le trocadéro et le palais de chaillot. Le chef étoilé y réinvente une cuisine de brasserie conviviale, à base de produits locaux. Familiale pour le déjeuner, la carte laisse la place à une cuisine...",Restaurant
Yachts de Paris,41 avenue Gabriel,Paris,"La compagnie des yachts de paris propose des dîners croisières haut de gamme sur la seine. Le don juan ii, fleuron de la compagnie, est un restaurant art déco digne du luxe des traversées transatlantiques des années 30. Dans un intérieur feutré, les passagers dégustent une cuisine gastronomique...",Restaurant
La Tour d'Argent,15 quai de la Tournelle,Paris,"Depuis 1914, la famille terrail est aux commandes de cette institution gastronomique, installée quai de la tournelle. La porte franchie, les convives empruntent l'ascenseur privé pour accéder à la mythique salle du restaurant située au sixième étage, qui bénéfice d'une vue époustouflante sur la...",Restaurant
